danceability,speechiness,acousticness
0.738,0.317,0.00575
0.802,0.0606,0.0709
0.655,0.0434,0.00674
0.805,0.0665,0.0177
0.921,0.133,0.227
0.876,0.0481,0.123
0.833,0.0702,0.45
0.681,0.0454,0.00056
0.699,0.0535,0.0132
0.728,0.0701,0.0214
0.853,0.0508,0.00663
0.544,0.0278,0.00519
0.725,0.0569,0.0743
0.683,0.0562,0.00118
0.646,0.0423,0.000542
0.692,0.0404,0.00425
0.701,0.0355,0.0112
0.856,0.0482,0.000188
0.883,0.0571,0.0334
0.555,0.034,0.00715
0.735,0.0572,0.0271
0.67,0.0336,0.00117
0.799,0.0682,7.83e-05
0.85,0.0596,0.0103
0.82,0.101,0.00027
0.771,0.129,0.00062
0.825,0.0671,0.00602
0.608,0.0354,0.00497
0.6,0.0332,0.0124
0.815,0.0906,0.078
0.746,0.0402,0.00582
0.811,0.0346,0.209
0.872,0.0766,0.215
0.74,0.0698,0.00762
0.645,0.0512,0.000191
0.816,0.0934,0.456
0.772,0.0378,0.0615
0.716,0.0331,0.123
0.727,0.0384,0.0283
0.576,0.0328,0.0161
0.551,0.307,0.0913
0.919,0.0584,0.058
0.75,0.519,0.192
0.889,0.321,0.228
0.893,0.405,0.317
0.779,0.2,0.23
0.869,0.264,0.145
0.807,0.0547,0.0607
0.765,0.0395,0.0819
0.722,0.223,0.386
0.896,0.122,0.71
0.93,0.16,0.634
0.85,0.371,0.505
0.75,0.162,0.0387
0.892,0.0828,0.131
0.657,0.2,0.814
0.782,0.339,0.016
0.952,0.142,0.0675
0.855,0.425,0.0225
0.717,0.0763,0.397
0.726,0.148,0.0335
0.889,0.183,0.0638
0.914,0.31,0.227
0.911,0.111,0.653
0.641,0.276,0.317
0.931,0.0628,0.0366
0.872,0.187,0.535
0.896,0.101,0.178
0.742,0.146,0.488
0.83,0.539,0.6
0.872,0.459,0.157
0.696,0.356,0.119
0.863,0.226,0.0809
0.636,0.34,0.106
0.674,0.506,0.281
0.928,0.171,0.142
0.831,0.431,0.0475
0.532,0.186,0.693
0.536,0.325,0.63
0.667,0.0873,0.3
0.66,0.0441,0.128
0.786,0.205,0.0294
0.74,0.215,0.265
0.631,0.211,0.578
0.862,0.0625,0.131
0.707,0.048,0.49
0.805,0.0979,0.459
0.883,0.128,0.161
0.68,0.076,0.0303
0.775,0.088,0.108
0.974,0.0452,0.105
0.798,0.356,0.163
0.683,0.0519,0.0677
0.856,0.245,0.0582
0.743,0.0535,0.0461
0.414,0.0719,0.0624
0.727,0.207,0.257
0.695,0.0556,0.000499
0.758,0.0442,0.0288
0.593,0.129,0.198
0.763,0.0454,0.464
0.888,0.0821,0.0824
0.7,0.0367,0.165
0.832,0.0562,0.0368
0.829,0.078,0.082
0.714,0.0571,0.15
0.759,0.205,0.125
0.855,0.136,0.567
0.786,0.0339,0.021
0.795,0.0409,0.114
0.811,0.0376,0.388
0.73,0.212,0.101
0.812,0.209,0.00383
0.716,0.0724,0.105
0.597,0.11,0.201
0.53,0.166,0.104
0.766,0.0453,0.0444
0.75,0.0613,0.125
0.628,0.292,0.124
0.71,0.122,0.265
0.827,0.144,0.463
0.693,0.27,0.0798
0.633,0.0908,0.0494
0.823,0.0807,0.0909
0.743,0.163,0.0136
0.908,0.106,0.0379
0.8,0.0778,0.046
0.782,0.0623,0.0807
0.641,0.0394,0.112
0.741,0.106,0.206
0.777,0.0751,0.0966
0.725,0.0355,0.162
0.73,0.355,0.105
0.818,0.287,0.045
0.763,0.0736,0.408
0.838,0.0487,0.0447
0.883,0.181,0.0873
0.826,0.0598,0.33
0.911,0.0389,0.125
0.718,0.0346,0.128
0.894,0.048,0.0182
0.845,0.148,0.214
0.545,0.473,0.135
0.765,0.109,0.581
0.784,0.213,0.24
0.875,0.0457,0.363
0.69,0.0417,0.00184
0.76,0.0395,0.0717
0.751,0.32,0.121
0.737,0.215,0.378
0.733,0.0394,0.0845
0.746,0.154,0.0899
0.759,0.0712,0.0862
0.838,0.0481,0.16
0.642,0.0501,0.0133
0.686,0.219,0.457
0.769,0.0341,0.119
0.728,0.123,0.187
0.881,0.0447,0.038
0.755,0.079,0.088
0.774,0.13,0.131
0.787,0.068,0.15
0.72,0.101,0.0562
0.775,0.0442,0.0313
